Page,Title
Page 1,"Dr Andriyanto, Alumnus UNAIR yang Dilantik Menjadi Pj Bupati Pasuruan"
Page 1,"UNAIR Raih 4,5 Trees Rating pada UI GreenMetric World University Ranking"
Page 1,Pakar Politik UNAIR Sebut Pengusungan Gibran Jadi Strategi Jangka Panjang
Page 1,"Berkomitmen Tingkatkan Transparansi Informasi, UNAIR Gabung JDIH"
Page 1,"Komitmen Tingkatkan Kualitas Pendidikan, Rektor UNAIR Kukuhkan Enam Guru Besar"
Page 1,"Tambah Lagi, UNAIR Kini Miliki 11 Jurnal Ilmiah Terindeks Scopus"
Page 1,UNAIR Raih Anugerah Jatim Bangkit Awards Berkat Sukseskan Pemulihan Pandemi
Page 1,"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Ajak Akademisi Tingkatkan Daya Kritis"
Page 1,"Beri Kuliah Tamu di UNAIR, Mahfud MD Tekankan Pentingnya Politik Kebangsaan"
Page 1,UNAIR Anugerahi Khofifah Gelar Doktor Honoris Causa
Page 1,"UNAIR Luluskan 1.382 Wisudawan, Rektor: Anda Orang-Orang Terpilih"
Page 1,Rektor Beri Pesan Gubes untuk Bumikan Ilmu Pengetahuan
Page 2,UNAIR Bagikan 1974 Sertifikat Halal Gratis untuk UMKM
Page 2,"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Tekankan Kerja Sama Riset Internasional"
Page 2,UNAIR Tingkatkan Kontribusi dengan Tambah 7 Guru Besar Baru
Page 2,UNAIR Duduki Peringkat Kedua Nasional Versi THE WUR
Page 2,"Dukung Merdeka Belajar, UNAIR Berikan Ruang Eksplorasi Bagi Mahasiswa"
Page 2,Pengukuhan Gubes Wujudkan UNAIR Jadi SMART University
Page 2,"Jadi Tuan Rumah The 6th ASEAN+3 Rector’s Conference, UNAIR Tekankan Pentingnya Kolaborasi"
Page 2,Intip Kisah Guru Besar UNAIR yang 18 Tahun Mengabdi Jadi Dokter Forensik
Page 2,"Kukuhkan Gubes, Rektor: Semoga Target Segera Tercapai"
Page 2,"Singkirkan Puluhan Peserta, Mahasiswa UNAIR Bawa Pulang Medali Emas"
Page 2,"Jadi Pionir, FKH UNAIR Adakan Program MBKM di 10 Wilayah Jatim"
Page 2,Resmi! UNAIR Bakal Miliki Plaza Airlangga
Page 3,"Menkes Luncurkan Permenkes Rumah Sakit Kapal, Berobat di RSTKA Kini Bisa Pakai BPJS"
Page 3,Pengukuhan Guru Besar Jadi Tambahan Energi bagi UNAIR
Page 3,"Kukuhkan Empat Guru Besar FK, Rektor UNAIR Tekankan Kecintaan pada Ilmu"
